Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53487148,A Thousand Ships,Natalie Haynes,"Haynes, Natalie",,0063065398,9780063065390,0,4.07,Harper,Hardcover,368,2021,2019,,2022/11/26,to-read,to-read (#267),to-read,,,,0,0
23947089,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,"Sanderson, Brandon",,0765391198,9780765391193,0,4.48,Tor Books,Hardcover,507,2022,2022,,2022/11/24,to-read,to-read (#266),to-read,,,,0,0
58429316,Disrupting the Game: From the Bronx to the Top of Nintendo,Reggie Fils-Aimé,"Fils-Aimé, Reggie",,1400226678,9781400226672,2,3.83,HarperCollins Leadership,Hardcover,224,2022,,,2022/08/30,abandoned,abandoned (#33),abandoned,,,,1,0
13707734,The Swerve: How the World Became Modern,Stephen Greenblatt,"Greenblatt, Stephen",,0393343405,9780393343403,0,3.87,W. W. Norton & Company,Paperback,356,2012,2011,,2022/11/19,to-read,to-read (#265),to-read,,,,0,0
4268826,"Growing Object-Oriented Software, Guided by Tests",Steve  Freeman,"Freeman, Steve",Nat Pryce,0321503627,9780321503626,0,4.19,Addison-Wesley Professional,Paperback,345,2009,2009,,2022/11/15,to-read,to-read (#264),to-read,,,,0,0
44767249,She Said: Breaking the Sexual Harassment Story That Helped Ignite a Movement,Jodi Kantor,"Kantor, Jodi",Megan Twohey,0525560343,9780525560340,0,4.34,Penguin Press,Hardcover,310,2019,2019,,2022/11/06,to-read,to-read (#263),to-read,,,,0,0
22522808,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,"Gaiman, Neil",,0062330268,9780062330260,3,3.92,William Morrow,Hardcover,310,2015,2015,2022/11/04,2022/10/18,,,read,,,,1,0
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund",1473637465,9781473637467,0,4.36,Sceptre,Hardcover,342,2018,2018,,2022/10/28,to-read,to-read (#262),to-read,,,,0,0
30753841,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,"Nosrat, Samin","Wendy MacNaughton, Michael Pollan",1476753830,9781476753836,0,4.39,Simon and Schuster,Hardcover,480,2017,2017,,2022/10/24,to-read,to-read (#261),to-read,,,,0,0
59580653,The Wild Hunt,Emma Seckel,"Seckel, Emma",,1953534228,9781953534224,0,3.74,Tin House,Paperback,351,2022,2022,,2022/10/23,to-read,to-read (#260),to-read,,,,0,0
51934838,Catherine House,Elisabeth    Thomas,"Thomas, Elisabeth",,0062905651,9780062905659,0,3.12,Custom House,Hardcover,311,2020,2020,,2022/10/23,to-read,to-read (#259),to-read,,,,0,0
59808133,"Lavender House (Evander Mills, #1)",Lev A.C. Rosen,"Rosen, Lev A.C.",,1250834228,9781250834225,0,3.87,Forge Books,Hardcover,274,2022,2022,,2022/10/23,to-read,to-read (#258),to-read,,,,0,0
17332287,The Land Across,Gene Wolfe,"Wolfe, Gene",,0765335956,9780765335951,0,3.44,Tor Books,Hardcover,288,2013,2013,,2022/10/18,to-read,to-read (#257),to-read,,,,0,0
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,0007119313,9780007119318,4,4.20,HarperCollins,Paperback,274,2007,1934,2022/10/16,2022/09/19,,,read,,,,1,0
54716655,Kill It with Fire: Manage Aging Computer Systems (and Future Proof Modern Ones),Marianne Bellotti,"Bellotti, Marianne",,1718501188,9781718501188,0,4.16,No Starch Press,Paperback,248,2021,,,2022/10/10,to-read,to-read (#256),to-read,,,,0,0
57234157,"The Creative Gene: How Books, Movies, and Music Inspired the Creator of Death Stranding and Metal Gear Solid",Hideo Kojima,"Kojima, Hideo",Nathan Collins,197472591X,9781974725915,0,3.82,VIZ Media LLC,Hardcover,256,2021,2019,,2022/09/28,to-read,to-read (#255),to-read,,,,0,0
49750,An Abundance of Katherines,John Green,"Green, John",,0525476881,9780525476887,0,3.51,Dutton Books for Young Readers,Hardcover,229,2006,2006,,2022/09/28,to-read,to-read (#254),to-read,,,,0,0
10975,The Sound and the Fury,William Faulkner,"Faulkner, William",,,,0,3.86,Vintage International,Paperback,366,1990,1929,,2022/09/13,to-read,to-read (#253),to-read,,,,0,0
518848,"Sabriel (Abhorsen,  #1)",Garth Nix,"Nix, Garth",,0064471837,9780064471831,0,4.17,Harper Collins,Mass Market Paperback,491,1996,1995,,2022/09/10,to-read,to-read (#252),to-read,,,,0,0
59228261,How To Make The Best Coffee At Home,James Hoffmann,"Hoffmann, James",,1784727245,9781784727246,0,4.42,Mitchell Beazley,Hardcover,224,2022,2022,,2022/09/08,to-read,to-read (#251),to-read,,,,0,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,0063021420,9780063021426,0,4.17,Harper Voyager,Hardcover,544,2022,2022,,2022/09/08,to-read,to-read (#250),to-read,,,,0,0
60034425,A Year of Queer Cocktails,Harmony M. Colangelo,"Colangelo, Harmony M.",,,,0,0.0,,,,,,,2022/09/06,to-read,to-read (#249),to-read,,,,0,0
32638,The Thief of Always,Clive Barker,"Barker, Clive",,0060177241,9780060177249,0,4.21,HarperCollins Publishers,Hardcover,225,1992,1992,,2022/09/06,to-read,to-read (#248),to-read,,,,0,0
