Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53438195,The Witch's Heart,Genevieve Gornichec,"Gornichec, Genevieve",,059309994X,9780593099940,0,4.05,Ace,Hardcover,359,2021,2021,,2022/04/03,to-read,to-read (#198),to-read,,,,0,0
34600347,The Road to Little Dribbling: More Notes from a Small Island,Bill Bryson,"Bryson, Bill",,,,0,3.72,Vintage,Kindle Edition,352,2016,2015,,2022/04/01,to-read,to-read (#197),to-read,,,,0,0
8855321,Leviathan Wakes,James S.A. Corey,"Corey, James S.A.",,1841499889,9781841499888,0,4.31,Orbit,Paperback,592,2011,2011,,2022/04/01,to-read,to-read (#196),to-read,,,,0,0
20887238,"Traitor's Blade (Greatcoats, #1)",Sebastien de Castell,"Castell, Sebastien de",,,,0,4.05,Arcadia,Kindle Edition,325,2014,2014,,2022/03/30,to-read,to-read (#195),to-read,,,,0,0
50520939,"The Atlas Six (The Atlas, #1)",Olivie Blake,"Blake, Olivie",,,,0,3.58,,Kindle Edition,376,2020,2020,,2022/03/25,to-read,to-read (#194),to-read,,,,0,0
9328,The House of the Spirits,Isabel Allende,"Allende, Isabel",Magda Bogin,0553383809,9780553383805,0,4.28,Dial Press Trade Paperback,Paperback,448,2005,1982,,2022/03/18,to-read,to-read (#193),to-read,,,,0,0
16166062,KLF: Chaos Magic Music Money,John Higgs,"Higgs, John",,,,0,4.28,,Kindle Edition,192,2012,2012,,2022/03/12,to-read,to-read (#192),to-read,,,,0,0
22285,Rant: An Oral Biography of Buster Casey,Chuck Palahniuk,"Palahniuk, Chuck",,0385517874,9780385517874,0,3.84,Doubleday,Hardcover,320,2007,2007,,2022/03/11,to-read,to-read (#191),to-read,,,,0,0
51700803,Eat a Peach,David Chang,"Chang, David",Gabe Ulla,152475921X,9781524759216,4,3.89,Clarkson Potter Publishers,Hardcover,288,2020,2020,2022/02/23,2022/02/14,,,read,,,,1,0
61505,A Little History of the World,E.H. Gombrich,"Gombrich, E.H.",,0300108834,9780300108835,0,4.11,Yale University Press,Hardcover,284,2005,1936,,2022/02/20,"to-read, on-deck","to-read (#190), on-deck (#2)",to-read,,,,0,0
54860614,Ariadne,Jennifer Saint,"Saint, Jennifer",,125077358X,9781250773586,0,3.79,Flatiron Books,Hardcover,308,2021,2021,,2022/01/29,"to-read, on-deck","to-read (#188), on-deck (#1)",to-read,,,,0,0
58254061,Elektra,Jennifer Saint,"Saint, Jennifer",,1472273915,9781472273918,0,3.68,Wildfire,Hardcover,341,2022,2022,,2022/02/18,to-read,to-read (#189),to-read,,,,0,0
13507787,Practical Object Oriented Design in Ruby,Sandi Metz,"Metz, Sandi",,0321721330,9780321721334,0,4.53,Addison-Wesley Professional,Paperback,247,2012,2012,,2019/04/15,currently-reading,currently-reading (#1),currently-reading,,,,1,0
34616805,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,"Fournier, Camille",,1491973854,9781491973851,0,4.26,O'Reilly Media,Kindle Edition,246,2017,2017,,2019/03/18,,,read,,,,1,0
36337550,The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,,,5,3.80,Sourcebooks Landmark,Hardcover,432,2018,2018,2022/01/25,2021/06/21,,,read,,,,1,0
56015023,This Is Your Mind on Plants,Michael Pollan,"Pollan, Michael",,0593296907,9780593296905,4,3.87,Penguin Press,Hardcover,288,2021,2021,2022/01/20,2021/09/21,,,read,,,,1,0
7745,Fear and Loathing in Las Vegas,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,0679785892,9780679785897,0,4.07,Vintage Books,Paperback,204,1998,1971,,2022/01/20,to-read,to-read (#187),to-read,,,,0,0
3872,A History of the World in 6 Glasses,Tom Standage,"Standage, Tom",,0802715524,9780802715524,0,3.80,Bloomsbury,Paperback,336,2006,2005,,2022/01/15,to-read,to-read (#186),to-read,,,,0,0
1845,Into the Wild,Jon Krakauer,"Krakauer, Jon",,0385486804,9780385486804,3,4.01,Anchor Books,Paperback,207,1997,1996,2022/01/07,2021/12/31,,,read,,,,1,0
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,163557563X,9781635575637,4,4.22,Bloomsbury,Hardcover,272,2020,2020,2022/01/06,2021/12/01,,,read,,,,1,0
52597312,Utopia Avenue,David Mitchell,"Mitchell, David",,0812997433,9780812997439,0,4.00,Random House,Hardcover,574,2020,2020,,2022/01/03,to-read,to-read (#185),to-read,,,,0,0
16096824,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,1619634449,9781619634442,0,4.18,Bloomsbury USA Childrens,Hardcover,419,2015,2015,,2022/01/02,to-read,to-read (#184),to-read,,,,0,0
6101718,"The Magicians (The Magicians, #1)",Lev Grossman,"Grossman, Lev",,0670020559,9780670020553,3,3.53,Viking,Hardcover,402,2009,2009,2021/12/29,2014/10/18,fantasy,fantasy (#27),read,,,,1,0
50887097,"Why Fish Don’t Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,"Miller, Lulu",,,,5,4.15,Simon & Schuster,Hardcover,225,2020,2020,2021/12/29,2020/05/15,,,read,,,,1,0
7648269,Empire of the Summer Moon,S.C. Gwynne,"Gwynne, S.C.",,1416591052,9781416591054,0,4.24,Scribner,Hardcover,371,2010,2010,,2021/12/25,to-read,to-read (#183),to-read,,,,0,0
26700511,"Middle Kingdom and Empire of the Rising Sun: Sino-Japanese Relations, Past and Present",June Teufel Dreyer,"Dreyer, June Teufel",,0195375661,9780195375664,0,3.37,Oxford University Press,Hardcover,468,2016,2016,,2021/12/25,to-read,to-read (#182),to-read,,,,0,0
35007517,Earthseed: Parable of the Sower and Parable of the Talents,Octavia E. Butler,"Butler, Octavia E.",,,,0,4.53,Open Road Integrated Media,Kindle Edition,880,2017,1990,,2021/11/06,paused,paused (#2),paused,,,,0,0
56095032,Press Reset: Ruin and Recovery in the Video Game Industry,Jason Schreier,"Schreier, Jason",,,,3,4.05,Grand Central Publishing,Kindle Edition,321,2021,2021,2021/11/20,2021/09/08,,,read,,,,1,0
32109569,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,"Taylor, Dennis E.",,,,0,4.28,Worldbuilders Press,Kindle Edition,383,2016,2016,,2021/11/19,to-read,to-read (#181),to-read,,,,0,0
182052,"Improv Wisdom: Don't Prepare, Just Show Up",Patricia Ryan Madson,"Madson, Patricia Ryan",,1400081882,9781400081882,0,4.00,Bell Tower,Hardcover,160,2005,2005,,2021/11/19,to-read,to-read (#180),to-read,,,,0,0
2322,The Deeper Meaning of Liff: A Dictionary of Things There Aren't Any Words for Yet--But There Ought to Be,Douglas Adams,"Adams, Douglas",John Lloyd,0307236013,9780307236012,3,3.94,Crown,Paperback,192,2005,1990,,2011/10/07,humor,humor (#1),read,,,,1,0
17255186,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford",0988262592,9780988262591,3,4.26,IT Revolution Press,Hardcover,345,2013,2013,2021/11/06,2020/12/17,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,0593135202,9780593135204,5,4.50,Ballantine Books,Hardcover,476,2021,2021,2021/10/27,2021/05/12,,,read,,,,1,0
9531737,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,,,4,4.55,Daw,Kindle Edition,1000,2011,2011,2021/10/10,2021/08/07,,,read,,,,1,0
43713,Structure and Interpretation of Computer Programs,Harold Abelson,"Abelson, Harold","Gerald Jay Sussman, Julie Sussman",0262510871,9780262510875,0,4.47,The MIT Press,Paperback,657,1996,1984,,2021/11/04,to-read,to-read (#179),to-read,,,,0,0
112292,"Dauntless (The Lost Fleet, #1)",Jack Campbell,"Campbell, Jack",,0441014186,9780441014187,0,3.96,Ace Books,Mass Market Paperback,293,2006,2006,,2021/10/28,to-read,to-read (#178),to-read,,,,0,0
39996759,A Philosophy of Software Design,John Ousterhout,"Ousterhout, John",,1732102201,9781732102200,0,4.21,Yaknyam Press,Paperback,190,2018,2018,,2021/10/28,to-read,to-read (#177),to-read,,,,0,0
15824358,The First 90 Days: Critical Success Strategies for New Leaders at All Levels,Michael D. Watkins,"Watkins, Michael D.",,1422188612,9781422188613,0,3.86,Harvard Business Review Press,Hardcover,304,2013,2003,,2021/10/25,to-read,to-read (#176),to-read,,,,0,0
7190,The Three Musketeers,Alexandre Dumas,"Dumas, Alexandre","Richard Pevear, Philip Bates, William Barrow, August Zoller, Marisa Zini, Moshe Ukle, Pierre Toutain-Dorbec, John      Lee, Jacques Georges Clemenc Le Clercq, Natalie Montoto, S.M. Sheley, Daniel Rasmusson, Louis Jourdan, Walter Covell, Michael Page, Brett Helquist, Michael Hugh Johnson, Sylvie Thorel-Cailleteau, Milo Winter, Bill Homewood, Arthur Paul John Charles James Gore Sudley, S.N. Rizvi, Giorgio Manganelli, William Robson, Isabel Ely Lord, Александр Дюма",,,0,4.09,Modern Library,Paperback,625,2001,1844,,2021/10/24,to-read,to-read (#175),to-read,,,,0,0
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,150114331X,9781501143311,0,4.03,Simon & Schuster,Hardcover,335,2018,2018,,2021/10/04,to-read,to-read (#174),to-read,,,,0,0
34376766,"Blood, Sweat, and Pixels",Jason Schreier,"Schreier, Jason",,0062651242,9780062651242,4,4.21,Harper Paperbacks,Kindle Edition,353,2017,2017,2021/09/27,2021/09/08,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,,,0,4.34,Avery,Kindle Edition,319,2018,2018,,2021/09/09,abandoned,abandoned (#32),abandoned,,,,0,0
57536,Second Nature: A Gardener's Education,Michael Pollan,"Pollan, Michael",,0802140114,9780802140111,0,3.93,Grove Press,Paperback,258,2003,1991,,2021/09/21,to-read,to-read (#173),to-read,,,,0,0
52300107,Caffeine: How Caffeine Created the Modern World,Michael Pollan,"Pollan, Michael",,,,0,3.72,Audible Original,Audible Audio,2,2020,2020,,2021/09/21,to-read,to-read (#172),to-read,,,,0,0
41021145,The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,"Pollan, Michael",,,,0,4.06,Random House,Kindle Edition,304,2018,2002,,2021/09/21,to-read,to-read (#171),to-read,,,,0,0
53558596,Fixing Your Scrum: Practical Solutions to Common Scrum Problems,Ryan Ripley,"Ripley, Ryan",Todd Miller,1680507435,9781680507430,0,4.34,Pragmatic Bookshelf,Kindle Edition,344,2020,,,2021/09/21,to-read,to-read (#170),to-read,,,,0,0
1069827,Release It!: Design and Deploy Production-Ready Software (Pragmatic Programmers),Michael T. Nygard,"Nygard, Michael T.",,0978739213,9780978739218,0,4.26,"Pragmatic Bookshelf, The",Paperback,350,2017,2007,,2021/09/21,to-read,to-read (#169),to-read,,,,0,0
316767,The Box: How the Shipping Container Made the World Smaller and the World Economy Bigger,Marc Levinson,"Levinson, Marc",,0691123241,9780691123240,0,3.85,Princeton University Press,Hardcover,392,2006,2006,,2021/09/21,to-read,to-read (#168),to-read,,,,0,0
57426546,Under the Sky We Make: How to Be Human in a Warming World,Kimberly Nicholas,"Nicholas, Kimberly",,0593328183,9780593328187,5,4.26,G.P. Putnam's Sons,Kindle Edition,335,2021,,2021/09/16,2021/08/07,,,read,,,,1,0
18952341,"The Grace of Kings (The Dandelion Dynasty, #1)",Ken Liu,"Liu, Ken",,1481424270,9781481424271,0,3.79,Saga Press,Hardcover,640,2015,2015,,2021/09/09,to-read,to-read (#167),to-read,,,,0,0
41107836,Heracles' Bow,Madeline Miller,"Miller, Madeline",,,,0,3.53,,,10,2012,2012,,2021/09/07,to-read,to-read (#166),to-read,,,,0,0
22085568,The Culture Map: Breaking Through the Invisible Boundaries of Global Business,Erin Meyer,"Meyer, Erin",,,,0,4.34,PublicAffairs,Kindle Edition,290,2014,2014,,2021/09/02,to-read,to-read (#165),to-read,,,,0,0
4099,The Pragmatic Programmer: From Journeyman to Master,Dave         Thomas,"Thomas, Dave","Andy   Hunt, Ward Cunningham",020161622X,9780201616224,0,4.33,Addison-Wesley Professional,Paperback,321,1999,1999,,2021/09/01,to-read,to-read (#164),to-read,,,,0,0
18197267,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability (Voices That Matter)",Steve Krug,"Krug, Steve",,0321965515,9780321965516,0,4.24,New Riders,Paperback,216,2013,2000,,2021/08/11,to-read,to-read (#163),to-read,,,,0,0
171970,Alamut,Vladimir Bartol,"Bartol, Vladimir",Michael Biggins,0972028730,9780972028738,0,4.31,Scala House Press,Hardcover,510,2005,1938,,2021/08/10,to-read,to-read (#162),to-read,,,,0,0
56864148,Yearbook,Seth Rogen,"Rogen, Seth",,1984825410,9781984825414,0,4.16,Crown,ebook,262,2021,2021,2021/08/07,2021/07/20,,,read,,,,1,0
212855,The Perfect Prince: The Mystery of Perkin Warbeck and His Quest for the Throne of England,Ann Wroe,"Wroe, Ann",,0812968115,9780812968118,0,3.71,Random House Trade Paperbacks,Paperback,640,2004,2003,,2021/05/09,paused,paused (#1),paused,,,,1,0
18162954,Galatea,Madeline Miller,"Miller, Madeline",,1408848147,,0,3.93,Bloomsbury Paperbacks,Kindle Edition,27,2013,2013,,2021/08/02,to-read,to-read (#161),to-read,,,,0,0
43594271,"Bringing Down the Duke (A League of Extraordinary Women, #1)",Evie Dunmore,"Dunmore, Evie",,198480569X,,3,3.94,Berkley,Kindle Edition,356,2019,2019,2021/08/02,2021/07/25,,,read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,075640407X,9780756404079,4,4.52,Penguin Group DAW,Hardcover,662,2007,2007,2021/07/27,2015/09/28,fantasy,fantasy (#36),read,,,,1,0
55730109,Zero To Production In Rust,Luca Palmieri,"Palmieri, Luca",,,,0,4.48,,ebook,581,2021,,,2021/07/27,to-read,to-read (#160),to-read,,,,0,0
50358103,Money: The True Story of a Made-Up Thing,Jacob Goldstein,"Goldstein, Jacob",,031641719X,9780316417198,4,4.19,Hachette Books,Hardcover,272,2020,2020,2021/07/20,2021/01/17,,,read,,,,1,0
51625396,Stuff You Should Know: An Incomplete Compendium of Mostly Interesting Things,Josh      Clark,"Clark, Josh",Chuck Bryant,1250268516,9781250268518,4,3.93,Flatiron Books,Kindle Edition,297,2020,2020,2021/07/18,2020/07/17,,,read,,,,1,0
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,,,0,4.48,Henry Holt & Company,Hardcover,480,2015,2015,,2021/07/15,to-read,to-read (#159),to-read,,,,0,0
2741559,Tribal Leadership: Leveraging Natural Groups to Build a Thriving Organization,Dave Logan,"Logan, Dave","John King, Halee Fischer-Wright",0061251305,9780061251306,0,3.98,Harper Business,Hardcover,320,2008,2008,,2021/07/13,to-read,to-read (#158),to-read,,,,0,0
18077903,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,"Catmull, Ed",Amy    Wallace,0812993012,9780812993011,0,4.22,Random House,Hardcover,368,2014,2014,,2021/07/13,to-read,to-read (#157),to-read,,,,0,0
45303387,An Elegant Puzzle: Systems of Engineering Management,Will Larson,"Larson, Will",,1953953336,9781953953339,0,4.09,Stripe Press,Kindle Edition,289,2019,2019,,2021/07/13,to-read,to-read (#156),to-read,,,,0,0
56481725,Staff Engineer: Leadership Beyond the Management Track,Will Larson,"Larson, Will",Tanya Reilly,1736417908,,0,4.06,Will Larson,Kindle Edition,337,2021,,,2021/07/13,to-read,to-read (#155),to-read,,,,0,0
52275335,How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates,"Gates, Bill",,0241448301,9780241448304,4,4.13,Allen Lane,Hardcover,272,2021,2021,2021/07/09,2021/06/29,,,read,,,,1,0
13589182,Mastery,Robert Greene,"Greene, Robert",,0670024961,9780670024964,0,4.26,Viking,Hardcover,318,2012,2012,,2021/07/09,to-read,to-read (#154),to-read,,,,0,0
67825,Peopleware: Productive Projects and Teams,Tom DeMarco,"DeMarco, Tom",Timothy Lister,0932633439,9780932633439,0,4.13,Dorset House,Paperback,245,1999,1987,,2021/07/06,to-read,to-read (#153),to-read,,,,0,0
48044,The Book of Merlyn,T.H. White,"White, T.H.",,029270769X,9780292707696,0,3.90,University of Texas Press,Paperback,160,1977,1977,,2021/07/04,to-read,to-read (#152),to-read,,,,0,0
20510868,Big Little Lies,Liane Moriarty,"Moriarty, Liane",,0698138635,9780698138636,4,4.31,G.P. Putnam's Sons,ebook,465,2014,2014,2021/06/27,2021/06/16,,,read,,,,1,0
50508525,World Travel: An Irreverent Guide,Anthony Bourdain,"Bourdain, Anthony",Laurie Woolever,0062802771,9780062802774,0,3.64,Ecco,Kindle Edition,478,2021,2021,,2021/05/30,abandoned,abandoned (#31),abandoned,,,,0,0
53543088,The Devil and the Dark Water,Stuart Turton,"Turton, Stuart",,1728206030,,5,3.84,Sourcebooks Landmark,Kindle Edition,577,2020,2020,2021/06/21,2021/06/14,,,read,,,,1,0
102920,Understanding Comics: The Invisible Art,Scott McCloud,"McCloud, Scott",,,,0,4.01,HarperPerennial,Paperback,222,1993,1993,,2021/06/14,to-read,to-read (#151),to-read,,,,0,0
18182,A Theory Of Fun For Game Design,Ralph Koster,"Koster, Ralph",,1932111972,9781932111972,0,3.91,O'Reilly Media,Paperback,279,2014,2004,,2021/06/14,to-read,to-read (#150),to-read,,,,0,0
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,0575079797,9780575079793,0,4.21,Gollancz,Paperback,515,2007,2006,,2021/06/14,to-read,to-read (#149),to-read,,,,0,0
301538,"The Darkness That Comes Before (The Prince of Nothing, #1)",R. Scott Bakker,"Bakker, R. Scott",,1585676772,9781585676774,0,3.83,The Overlook Press,Paperback,608,2005,2003,,2021/06/14,to-read,to-read (#148),to-read,,,,0,0
18505802,"Console Wars: Sega, Nintendo, and the Battle that Defined a Generation",Blake J. Harris,"Harris, Blake J.",,0062276697,9780062276698,0,3.97,It Books,Hardcover,576,2014,2014,,2021/06/13,to-read,to-read (#147),to-read,,,,0,0
58244064,Rust for Rustaceans,Jon Gjengset,"Gjengset, Jon",,1718501854,9781718501850,0,4.52,no starch press,Paperback,251,2021,2021,,2021/06/08,to-read,to-read (#146),to-read,,,,0,0
4406,East of Eden,John Steinbeck,"Steinbeck, John",,0142000655,9780142000656,0,4.42,Penguin Books,Paperback,601,2002,1952,,2021/06/05,to-read,to-read (#145),to-read,,,,0,0
29127,"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,"Beagle, Peter S.",Patrick Rothfuss,,,0,4.16,Penguin Roc,Paperback,294,2008,1968,,2021/06/02,to-read,to-read (#144),to-read,,,,0,0
49808906,Coffeeland: One Man's Dark Empire and the Making of Our Favorite Drug,Augustine Sedgewick,"Sedgewick, Augustine",,1594206155,9781594206153,0,3.59,Penguin Press,Hardcover,448,2020,2021,,2021/05/22,to-read,to-read (#143),to-read,,,,0,0
22435,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,"Greene, Brian",,0965900584,9780965900584,0,4.13,Alfred Knopf,Paperback,569,2004,2004,,2021/05/15,to-read,to-read (#142),to-read,,,,0,0
20821371,The Sense of Style: The Thinking Person's Guide to Writing in the 21st Century,Steven Pinker,"Pinker, Steven",,0670025852,9780670025855,0,4.04,Viking,Hardcover,368,2014,2014,,2021/05/15,to-read,to-read (#141),to-read,,,,0,0
25008661,The Rust Programming Language,Steve Klabnik,"Klabnik, Steve",,,,4,4.50,Mozilla Research,ebook,347,,,2021/05/09,2021/05/06,,,read,,,,1,0
4915246,What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry,John Markoff,"Markoff, John",,1101201088,9781101201084,0,3.82,Penguin Group,Kindle Edition,333,2005,2005,,2021/04/12,abandoned,abandoned (#30),abandoned,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,,,4,4.35,Vintage,Paperback,512,2015,2011,2021/05/04,2021/04/19,,,read,,,,1,0
18693771,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,0670785938,9780670785933,0,4.38,Viking,Hardcover,464,2014,2014,,2021/04/28,to-read,to-read (#140),to-read,,,,0,0
31580409,"Cork Dork: A Wine-Fueled Adventure Among the Obsessive Sommeliers, Big Bottle Hunters, and Rogue Scientists Who Taught Me to Live for Taste",Bianca Bosker,"Bosker, Bianca",,0698195906,9780698195905,0,3.96,Penguin Books,Hardcover,346,2017,2017,,2021/04/25,to-read,to-read (#139),to-read,,,,0,0
43726564,"The Stoic Challenge: A Philosopher's Guide to Becoming Tougher, Calmer, and More Resilient",William B. Irvine,"Irvine, William B.",,0393652491,9780393652499,0,3.74,W. W. Norton & Company,Hardcover,192,2019,2019,,2021/04/19,to-read,to-read (#138),to-read,,,,0,0
50722115,Is This Anything?,Jerry Seinfeld,"Seinfeld, Jerry",,1982112697,9781982112691,0,3.72,Simon & Schuster,Hardcover,480,2020,2020,,2021/04/19,to-read,to-read (#137),to-read,,,,0,0
53487334,The Best of Me,David Sedaris,"Sedaris, David",,0316628247,9780316628242,0,4.21,"Little, Brown and Company",Hardcover,387,2020,2020,,2021/04/19,to-read,to-read (#136),to-read,,,,0,0
27831864,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,Jake Knapp,"Knapp, Jake","John Zeratsky, Braden Kowitz",1501121774,9781501121777,3,4.19,Simon & Schuster,Kindle Edition,290,2016,2016,2021/04/12,2021/04/01,,,read,,,,1,0
2514766,Los recuerdos del porvenir,Elena Garro,"Garro, Elena",,9682705673,9789682705670,0,4.33,Planeta Publishing,Paperback,292,2007,1963,,2021/04/08,to-read,to-read (#135),to-read,,,,0,0
25938417,Children of Earth and Sky,Guy Gavriel Kay,"Kay, Guy Gavriel",,0451472969,9780451472960,2,4.16,Berkley,Hardcover,571,2016,2016,2021/04/02,2017/08/23,,,read,,,,1,0
53568397,The Midnight Library,Matt Haig,"Haig, Matt",,0525559485,9780525559481,4,3.99,Viking ,Kindle Edition,289,2020,2020,2021/02/22,2021/01/26,,,read,,,,1,0
5617966,A Guide to the Good Life: The Ancient Art of Stoic Joy,William B. Irvine,"Irvine, William B.",,0195374614,9780195374612,0,4.19,Oxford University Press,Hardcover,326,2009,2008,,2021/04/01,to-read,to-read (#134),to-read,,,,0,0
39020,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,"Mann, Charles C.",,1400032059,9781400032051,0,4.05,Vintage,Paperback,563,2011,2005,,2021/03/20,to-read,to-read (#133),to-read,,,,0,0
82121,The Friends of Eddie Coyle,George V. Higgins,"Higgins, George V.",,1841192627,9781841192628,4,4.05,Robinson ,Paperback,216,2001,1971,2021/03/06,2020/08/29,,,read,,,,1,0
21516615,Agile Kaizen: Managing Continuous Improvement Far Beyond Retrospectives,Ángel Medinilla,"Medinilla, Ángel",,364254990X,9783642549908,0,4.34,Springer,Hardcover,216,2014,2014,,2021/02/15,to-read,to-read (#132),to-read,,,,0,0
49239093,"The Evening and the Morning (Kingsbridge, #0)",Ken Follett,"Follett, Ken",,0525954988,9780525954989,0,4.39,Viking,Hardcover,913,2020,2020,,2021/02/09,to-read,to-read (#131),to-read,,,,0,0
25088963,The Killers,Ernest Hemingway,"Hemingway, Ernest",,,,0,3.22,,,11,1927,1927,,2021/01/05,to-read,to-read (#130),to-read,,,,0,0
21343,The Five Dysfunctions of a Team,Patrick Lencioni,"Lencioni, Patrick",,0787960756,9780787960759,0,4.11,FisicalBook,Paperback,228,1900,2002,,2021/01/04,to-read,to-read (#129),to-read,,,,0,0
7165300,"The Black Prism (Lightbringer, #1)",Brent Weeks,"Weeks, Brent",,0316075558,9780316075558,3,4.23,Orbit,Hardcover,629,2010,2010,2021/01/04,2020/11/28,,,read,,,,1,0
25019,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Simon Winchester,"Winchester, Simon",,0060839783,9780060839789,0,3.84,Harper Perennial,Paperback,242,2005,1998,,2021/01/02,to-read,to-read (#128),to-read,,,,0,0
6819,Ghostwritten,David Mitchell,"Mitchell, David",,0375724508,9780375724503,5,4.05,Vintage,Paperback,426,2001,1999,,2012/06/18,"post-modern, couldnt-put-down","post-modern (#5), couldnt-put-down (#11)",read,,,,1,0
10127019,The Lean Startup,Eric Ries,"Ries, Eric",,0307887898,9780307887894,0,4.11,Best Business,Hardcover,299,2011,2011,,2020/12/23,to-read,to-read (#127),to-read,,,,0,0
43190966,Refactoring UI,Adam Wathan,"Wathan, Adam",Steve Schoger,,,4,4.66,,ebook,252,2018,,2020/12/20,2019/08/26,,,read,,,,1,0
30646587,"The Simple Path to Wealth: Your road map to financial independence and a rich, free life",JL Collins,"Collins, JL",Mr. Money Mustache,,,0,4.43,jlcollinsnh.com,Kindle Edition,288,2016,,,2020/12/18,to-read,to-read (#126),to-read,,,,0,0
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,"Putnam, Robert D.",,0743203046,9780743203043,0,3.84,Touchstone Books by Simon & Schuster,Paperback,544,2001,2000,,2020/12/06,to-read,to-read (#125),to-read,,,,0,0
205353,Classical Music Without Fear: A Guide For General Audiences,Marianne Williams Tobias,"Tobias, Marianne Williams",,0253342775,9780253342775,3,3.00,Indiana University Press,Hardcover,208,2003,2003,2020/12/06,2020/10/31,,,read,,,,1,0
54297097,The Dispossessed,Ursula K. Le Guin,"Guin, Ursula K. Le",,,,4,4.25,HarperCollins,Kindle Edition,400,2009,1974,2020/11/30,2020/11/05,,,read,,,,1,0
10803121,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,0765330423,9780765330420,0,4.20,Tor Books,Hardcover,325,2011,2011,,2020/11/12,to-read,to-read (#124),to-read,,,,0,0
8161568,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,"Bourdain, Anthony",,1596917245,9781596917248,4,4.17,Bloomsbury USA,ebook,321,2008,2000,2020/11/09,2020/10/23,,,read,,,,1,0
43582376,The Body: A Guide for Occupants,Bill Bryson,"Bryson, Bill",,0385539304,9780385539302,5,4.32,Doubleday Books,Hardcover,450,2019,2019,2020/11/01,2020/10/23,,,read,,,,1,0
62022,The Queen's Gambit,Walter Tevis,"Tevis, Walter",,1400030609,9781400030606,0,4.18,Vintage,Paperback,258,2003,1983,,2020/10/31,to-read,to-read (#123),to-read,,,,0,0
1079361,Bad Medicine: Doctors Doing Harm Since Hippocrates,David Wootton,"Wootton, David",,0192803557,9780192803559,0,3.66,Oxford University Press,Hardcover,320,2006,2006,,2020/10/31,to-read,to-read (#122),to-read,,,,0,0
7865083,Liar's Poker,Michael   Lewis,"Lewis, Michael",,039333869X,9780393338690,0,4.15,W. W. Norton & Company,Paperback,310,2010,1989,,2020/10/23,to-read,to-read (#121),to-read,,,,0,0
1301,Moneyball,Michael   Lewis,"Lewis, Michael",,0393324818,9780393324815,0,4.26,W. W. Norton & Company,Paperback,317,2004,2003,,2020/10/23,to-read,to-read (#120),to-read,,,,0,0
35099718,So You Want to Talk About Race,Ijeoma Oluo,"Oluo, Ijeoma",,1580056776,9781580056779,0,4.49,Seal Press,Hardcover,248,2018,2018,,2020/07/01,to-read,to-read (#119),to-read,,,,0,0
